version,case_id,run,request,expected_word,json_valid,required_fields,word_match,phonetic_valid,pos_valid,definition_valid,examples_exact3,examples_bilingual,examples_use_word,synonyms_4_6,synonyms_unique,html_success,latency_s,prompt_tokens,completion_tokens,total_tokens,overall_success,quality_score,error
V1,T01,1,给我做一个 resilient 的闪卡,resilient,1,1,1,1,1,1,1,1,1,1,1,0,5.5409,905,197,1102,0,91.67,
V1,T01,2,给我做一个 resilient 的闪卡,resilient,1,1,1,1,1,1,1,1,1,1,1,0,5.2442,905,197,1102,0,91.67,
V1,T01,3,给我做一个 resilient 的闪卡,resilient,1,1,1,1,1,1,1,1,1,1,1,0,4.6874,905,197,1102,0,91.67,
V1,T02,1,帮我生成 meticulous 的单词卡,meticulous,1,1,1,1,1,1,1,1,1,1,1,0,5.5734,905,207,1112,0,91.67,
V1,T02,2,帮我生成 meticulous 的单词卡,meticulous,1,1,1,1,1,1,1,1,1,1,1,0,5.0951,905,206,1111,0,91.67,
V1,T02,3,帮我生成 meticulous 的单词卡,meticulous,1,1,1,1,1,1,1,1,1,1,1,0,6.7587,905,206,1111,0,91.67,
V1,T03,1,给我做 crazy 的 flash card,crazy,1,1,1,1,1,1,1,1,1,1,1,0,4.9394,905,177,1082,0,91.67,
V1,T03,2,给我做 crazy 的 flash card,crazy,1,1,1,1,1,1,1,1,1,1,1,0,9.0344,905,188,1093,0,91.67,
V1,T03,3,给我做 crazy 的 flash card,crazy,1,1,1,1,1,1,1,1,1,1,1,0,12.5259,905,183,1088,0,91.67,
V1,T04,1,生成一个 ambitious 的英语单词闪卡,ambitious,1,1,1,1,1,1,1,1,1,1,1,0,5.2362,907,190,1097,0,91.67,
V1,T04,2,生成一个 ambitious 的英语单词闪卡,ambitious,1,1,1,1,1,1,1,1,1,1,1,0,4.96,907,214,1121,0,91.67,
V1,T04,3,生成一个 ambitious 的英语单词闪卡,ambitious,1,1,1,1,1,1,1,1,1,1,1,0,6.3547,907,191,1098,0,91.67,
V1,T05,1,make a flash card for fragile,fragile,1,1,1,1,1,1,1,1,1,1,1,0,5.4403,905,187,1092,0,91.67,
V1,T05,2,make a flash card for fragile,fragile,1,1,1,1,1,1,1,1,1,1,1,0,4.1838,905,180,1085,0,91.67,
V1,T05,3,make a flash card for fragile,fragile,1,1,1,1,1,1,1,1,1,1,1,0,5.0384,905,182,1087,0,91.67,
V1,T06,1,请做一张 GENEROUS 的单词卡，谢谢,generous,1,1,1,1,1,1,1,1,1,1,1,0,6.725,909,174,1083,0,91.67,
V1,T06,2,请做一张 GENEROUS 的单词卡，谢谢,generous,1,1,1,1,1,1,1,1,1,1,1,0,4.9296,909,192,1101,0,91.67,
V1,T06,3,请做一张 GENEROUS 的单词卡，谢谢,generous,1,1,1,1,1,1,1,1,1,1,1,0,4.2953,909,185,1094,0,91.67,
V1,T07,1,我在背单词，能不能帮我把 persistent 做成 flash card？,persistent,1,1,1,1,1,1,1,1,1,1,1,0,7.5823,914,174,1088,0,91.67,
V1,T07,2,我在背单词，能不能帮我把 persistent 做成 flash card？,persistent,1,1,1,1,1,1,1,1,1,1,1,0,4.9375,914,169,1083,0,91.67,
V1,T07,3,我在背单词，能不能帮我把 persistent 做成 flash card？,persistent,1,1,1,1,1,1,1,1,1,1,1,0,4.3952,914,173,1087,0,91.67,
V1,T08,1,Flash card please: sophisticated,sophisticated,1,1,1,1,1,1,1,1,1,1,1,0,6.6142,904,189,1093,0,91.67,
V1,T08,2,Flash card please: sophisticated,sophisticated,1,1,1,1,1,1,1,1,1,1,1,0,6.1145,904,207,1111,0,91.67,
V1,T08,3,Flash card please: sophisticated,sophisticated,1,1,1,1,1,1,1,1,1,1,1,0,5.1603,904,201,1105,0,91.67,
V1,T09,1,做个 concise 的闪卡，例句要中英对照,concise,1,1,1,1,1,1,1,1,1,1,1,0,4.2029,911,167,1078,0,91.67,
V1,T09,2,做个 concise 的闪卡，例句要中英对照,concise,1,1,1,1,1,1,1,1,1,1,1,0,4.4798,911,161,1072,0,91.67,
V1,T09,3,做个 concise 的闪卡，例句要中英对照,concise,1,1,1,1,1,1,1,1,1,1,1,0,4.8787,911,163,1074,0,91.67,
V1,T10,1,帮我生成一个 versatile 单词卡,versatile,1,1,1,1,1,1,1,1,1,1,1,0,5.581,907,206,1113,0,91.67,
V1,T10,2,帮我生成一个 versatile 单词卡,versatile,1,1,1,1,1,1,1,1,1,1,1,0,4.8715,907,200,1107,0,91.67,
V1,T10,3,帮我生成一个 versatile 单词卡,versatile,1,1,1,1,1,1,1,1,1,1,1,0,4.861,907,201,1108,0,91.67,
V2,T01,1,给我做一个 resilient 的闪卡,resilient,1,1,1,1,1,1,1,1,1,1,1,0,5.2758,1464,208,1672,0,91.67,
V2,T01,2,给我做一个 resilient 的闪卡,resilient,1,1,1,1,1,1,1,1,1,1,1,0,5.7747,1464,208,1672,0,91.67,
V2,T01,3,给我做一个 resilient 的闪卡,resilient,1,1,1,1,1,1,1,1,1,1,1,0,5.7661,1464,208,1672,0,91.67,
V2,T02,1,帮我生成 meticulous 的单词卡,meticulous,1,1,1,1,1,1,1,1,1,1,1,0,5.3181,1464,210,1674,0,91.67,
V2,T02,2,帮我生成 meticulous 的单词卡,meticulous,1,1,1,1,1,1,1,1,1,1,1,0,9.8897,1464,209,1673,0,91.67,
V2,T02,3,帮我生成 meticulous 的单词卡,meticulous,1,1,1,1,1,1,1,1,1,1,1,0,6.0894,1464,213,1677,0,91.67,
V2,T03,1,给我做 crazy 的 flash card,crazy,1,1,1,1,1,1,1,1,1,1,1,0,6.3195,1464,193,1657,0,91.67,
V2,T03,2,给我做 crazy 的 flash card,crazy,1,1,1,1,1,1,1,1,1,1,1,0,5.3236,1464,184,1648,0,91.67,
V2,T03,3,给我做 crazy 的 flash card,crazy,1,1,1,1,1,1,1,1,1,1,1,0,5.648,1464,193,1657,0,91.67,
V2,T04,1,生成一个 ambitious 的英语单词闪卡,ambitious,1,1,1,1,1,1,1,1,1,1,1,0,5.6354,1466,210,1676,0,91.67,
V2,T04,2,生成一个 ambitious 的英语单词闪卡,ambitious,1,1,1,1,1,1,1,1,1,1,1,0,5.9112,1466,207,1673,0,91.67,
V2,T04,3,生成一个 ambitious 的英语单词闪卡,ambitious,1,1,1,1,1,1,1,1,1,1,1,0,5.8208,1466,208,1674,0,91.67,
V2,T05,1,make a flash card for fragile,fragile,1,1,1,1,1,1,1,1,1,1,1,0,5.5468,1464,193,1657,0,91.67,
V2,T05,2,make a flash card for fragile,fragile,1,1,1,1,1,1,1,1,1,1,1,0,4.8682,1464,191,1655,0,91.67,
V2,T05,3,make a flash card for fragile,fragile,1,1,1,1,1,1,1,1,1,1,1,0,4.8956,1464,192,1656,0,91.67,
V2,T06,1,请做一张 GENEROUS 的单词卡，谢谢,generous,1,1,1,1,1,1,1,1,1,1,1,0,5.2328,1468,195,1663,0,91.67,
V2,T06,2,请做一张 GENEROUS 的单词卡，谢谢,generous,1,1,1,1,1,1,1,1,1,1,1,0,5.7499,1468,191,1659,0,91.67,
V2,T06,3,请做一张 GENEROUS 的单词卡，谢谢,generous,1,1,1,1,1,1,1,1,1,1,1,0,5.7757,1468,199,1667,0,91.67,
V2,T07,1,我在背单词，能不能帮我把 persistent 做成 flash card？,persistent,1,1,1,1,1,1,1,1,1,1,1,0,5.4722,1473,187,1660,0,91.67,
V2,T07,2,我在背单词，能不能帮我把 persistent 做成 flash card？,persistent,1,1,1,1,1,1,1,1,1,1,1,0,5.3637,1473,187,1660,0,91.67,
V2,T07,3,我在背单词，能不能帮我把 persistent 做成 flash card？,persistent,1,1,1,1,1,1,1,1,1,1,1,0,5.6125,1473,183,1656,0,91.67,
V2,T08,1,Flash card please: sophisticated,sophisticated,1,1,1,1,1,1,1,1,1,1,1,0,5.8729,1463,224,1687,0,91.67,
V2,T08,2,Flash card please: sophisticated,sophisticated,1,1,1,1,1,1,1,1,1,1,1,0,6.5532,1463,215,1678,0,91.67,
V2,T08,3,Flash card please: sophisticated,sophisticated,1,1,1,1,1,1,1,1,1,1,1,0,6.874,1463,214,1677,0,91.67,
V2,T09,1,做个 concise 的闪卡，例句要中英对照,concise,1,1,1,1,1,1,1,1,1,1,1,0,5.6888,1470,172,1642,0,91.67,
V2,T09,2,做个 concise 的闪卡，例句要中英对照,concise,1,1,1,1,1,1,1,1,1,1,1,0,5.61,1470,172,1642,0,91.67,
V2,T09,3,做个 concise 的闪卡，例句要中英对照,concise,1,1,1,1,1,1,1,1,1,1,1,0,5.1603,1470,172,1642,0,91.67,
V2,T10,1,帮我生成一个 versatile 单词卡,versatile,1,1,1,1,1,1,1,1,1,1,1,0,5.9237,1466,208,1674,0,91.67,
